id,spoken_words,word_count
9653,homie straighten,6
9654,marge let bed biggest roll life,23
9655,,
9656,mmm hors doovers,3
9657,homer promised,3
9658,promised eat lie,8
9659,homer thrown party gon na pay friends invited homes,21
9664,mom want hear witty banter sophisticated adults,12
9665,yeah fun bed,8
9666,oh son older know better,8
9667,hmmm oh baby mmmm yeah,5
9668,oh look,7
9669,look,4
9670,glasses,5
9671,gag ice cubs,7
9672,homer homer record,6
9673,friends names,7
9674,children,2
9675,hey anybody mind serve bartender know mixology,16
9676,college boy,2
9677,hey homer care try flanders planters punch,11
9678,paid,6
9679,hey flanders time little alcohol,13
9680,au contraire simpson shots rum jigger bourbon little dab roo creme de cassis flavor,23
9681,warm sense ssslurring shpeech right,23
9682,homer easy al ky hol remember year winfield party threw laundry hamper,22
9683,,1
9684,,
9685,,
9686,,
9687,hi homer sister law right remember remember beau,17
9688,ow hey jeez,3
9689,new kind mace painful,10
9690,oh dr hibbert enjoying party,6
9691,uh slipped novelty ice cubes fake fly drink,22
9692,fell,7
9693,homer novelty ice cubes highly toxic chemicals ironically real fly sanitary,22
10082,dad,2
9694,look face priceless,10
9695,bart come,4
9696,,1
9697,little monkey little monkey,9
9698,yes sir,2
9699,bart thing cute,9
9700,,1
9701,thing know,7
9702,,1
9703,bed,3
9704,hey everybody look funniest guy world,10
9705,oh homer king,5
9706,wantin tell years nerve,15
9707,homer know wife wife friends met hours ago,18
9708,stink lousy operation stinks quit,11
9709,uh gee homer quit,5
9710,right,3
9711,handful peanuts maude,9
9712,oh sure,2
9713,peanuts ones,8
9714,,
9715,,
9716,hey thanks invitin wonderful time,10
9717,apologize husband,6
9718,want live night suggest roll,17
9719,hmmm thank dr hibbert thanks coming,10
9720,remember said,4
9721,embarrassed life,9
9722,,4
9723,marge,1
9724,come,2
9725,going,4
9726,shhh,1
9727,,
9728,want sure kids hear young hated knowing parents fighting,21
9729,,
9730,fighting car,6
9731,music sends chill spine,9
9732,,
9733,homer remember way acted party night,13
9734,way acted,4
9735,,
9736,said wet clothes dry martini,16
9737,good lord fly drink,8
9738,,4
9739,,2
9740,slipped glass gag,9
9741,pure hilarity,2
9742,pure homer,2
9743,pronounce whimsical jape season,12
9744,,
9745,homer like think patient tolerant woman line cross stop loving night cross line threw,41
9746,sorry honey forget church,12
9747,going church today going stay explain bart scarred life,21
9748,oh mean inside,10
9749,,
9750,night noticed daddy acting little strange probably understand,18
9751,understand wasted,6
9752,admit know sorry happened hope lose lot respect,27
9753,dad respect,15
9754,aw,1
9755,,
9756,sneak preview week sermon announcements new pamphlets available church newsrack including bible bafflers satan boners good grief satan boners teens cool fry hell,50
9757,marge marge,2
9758,sorry lord compete squeaking homer simpson shoes hold takes seat,28
9759,sorry reverend,2
9760,sit homer,3
9761,mrs lovejoy holding annual marriage retreat weekend catfish lake psychological counseling couples marriages hanging thread,29
9762,,
9763,need tune,8
9764,hmmmm,1
9765,wish participate sign way service,18
9766,,
9767,simpsons attending little retreat,8
9768,oh tempting wonderful idea,9
9769,marge insane,8
9770,,3
9771,,
9772,,
9773,marriage encounter weekend come,6
9774,wanna,4
9775,holding catfish lake catfish lake catfish,20
9776,going retreat marriage tune fishing,16
9777,oh babysitter,6
9778,hello mrs simpson,4
9779,simpson simpson,2
9780,come eh,5
9781,oh supposed sitter short notice,14
9782,oh dear find babysitter kick teeth,17
9783,need babysitter half,13
9784,mom dare,4
9785,tone young lady taste hand,20
9786,,3
9787,grampa,1
9788,huh,3
9789,grampa,5
9790,dress,4
9791,wondering think babysit kids weekend ask desperate,20
9792,oh sure resort old grampa feeb guy counted dagnabit agin,26
9793,marge puttin things trunk,10
9794,maggie runs fever number sticks finger electrical socket number drinks pine cleanser,30
9795,list read,8
9796,right right goodbye children behave,9
9797,number grampa falls bathtub,9
9798,heard,3
9799,grampa mom hurry forgot list things lisa,26
9800,uh huh uh huh allowed smoke cigars,7
9801,,
9802,hmmm bait,2
9803,,
9804,whoa better gas,5
9805,fill er guess stretch legs,11
9806,,
9807,ya headed,3
9808,catfish lake,2
9809,oh general sherman ya,6
9810,wait wait minute wait minute general sherman,10
9811,biggest catfish parts,8
9812,oh yeah,2
9813,weighs upwards pounds,9
9814,whoa says,4
9815,,2
9816,oh,1
9817,known picture general exactly freakishly big,20
9818,hmmmm gentlemen going catch general sherman,9
9819,,
9820,supermarket video store grab krusty burger head arcade,18
9821,bart grampa kindly old man trusts sure right advantage,19
9822,lis crazy topsy turvy times right wrong right gut telling bleed gramps dry,23
9823,,
9824,,
9825,ah mr mrs simpson welcome,6
9826,hello reverend glad come oh hello helen,10
9827,hel lo marge,2
9828,homer simpson marriage little spit shine,12
9829,business flanders,5
9830,uh uh reverend gon na chance fishing,14
9831,oh afraid marriage reconciled hours homer takes weekend,22
9832,oh,1
9833,bait hooks honesty way happy marriage wo got away,19
9834,understand bowling expressions,7
9835,ah couples best turnout room introduce tell little bit john gloria,31
9836,gloria johnny boy able cut manwise time want odor gin sour defeat pressed,32
9837,gloria,3
9838,thank gloria john tell little,15
9839,cooks keeps filthy house talks profanely queen harpies,18
9840,,3
9841,queen harpies,4
9842,,3
9843,crown majesty,5
9844,away swine,5
9845,queen harpies,4
9846,come right place want look eyes,16
9847,eyes forgotten beautiful,8
9848,let fight,4
9849,fools argue,5
9850,let talk,5
9851,let talk,5
9852,remember saving lives bringing happiness pass collection plate week right ned maude brings,25
9853,,1
9854,neddie,3
9855,maude god bless underlines passages bible find,16
9856,lucky guns house,8
9857,homer,5
9858,ohhh got drunk looked dress,10
9859,homer marge going tell faults tell,19
9860,perfect,2
9861,come homer faults,7
9862,annoying,6
9863,oh homer,2
9864,marge interrupt turn,8
9865,,2
9866,okay marge,2
9867,love guy sticking self centered,21
9868,homer,2
9869,forgets birthdays anniversaries holidays religious secular chews mouth open gambles hangs seedy bar bums lowlifes,30
9870,true true,5
9871,homer interrupt,3
9872,sorry,1
9873,blows nose towels puts middle,14
9874,couple times,8
9875,,
9876,half gallon chocolate,5
9877,check,1
9878,half gallon chocolate brownie fudge,7
9879,check,1
9880,half gallon chocolate chocolate chocolate chocolate chip,9
9881,check,1
9882,mom write shopping list,8
9883,grampa question,4
9884,lis,3
9885,sprinkles syrup,3
9886,hey grampa aisle step,8
9887,right cigar,8
9888,,
9889,drinks carton changes baby goes sleep makes chewing noises wakes makes honking noises oh oh scratches keys guess oh wait kicks sleep toenails long yellow think right guess tired want thank letting things chest,87
9890,missed luau night,12
9891,,
9893,want hear mcbain cannon regulations department book,22
9895,know kids gettin pretty late,7
9896,yeah bed grampa big day,12
9897,use kidding having ethical crisis,10
9898,,
9899,catch general sherman thirty clean eat thirty bed seven incriminating evidence perfect crime,28
9900,homer sneaking fishing believe selfishness fishing anytime trying save marriage thinking fishing talking right right,36
9901,good time honest,9
9902,yes,1
9903,right help marge good guy,16
9904,bed,4
10083,,1
9905,right sleep walk,11
9906,sure,1
9907,,
9908,got ta good husband got ta good husband got ta good husband,15
9909,hey kid forgot whoa,6
9910,,
9911,ahead general sherman waste strength big ugly catfish got ta skillet stick butter,24
9912,,
9913,homer,1
9914,,
9915,sugar,1
9916,yes,3
9917,hey grampa,5
9918,sure ma lets kids drink coffee,10
9919,time yes,5
9920,,
9921,good,3
9922,huh,1
9923,,
9924,,
9925,hey milhouse big blowout casa de simpson adult frail old,15
9926,,
9927,bart joint uh twoish square,9
9928,,
9929,tell friends right got pretty funky friends,12
9930,,
9931,right noon invited party,14
9932,,
9933,trust exercise fall backwards rely spouse catch,17
9934,,6
9935,husband recommend marge trained marriage counselor instance told partner percent right fault willing certificate frame,50
9936,,
9937,send word send word,10
9938,yanks comin,5
9939,,
9940,okay fish probably wondering catching famous fisherman right bald guy cable fishing,34
9941,whoa holy mackerel,3
9942,,
9943,milhouse good pal happening man,9
9944,cherry party bart chicks,7
9945,afternoon young,7
9946,lisa wrong,3
9947,obvious degraded set children rights movement decades come,17
9948,great party lisa great,8
9949,hey shut door stop away stop oh,14
9950,ow,1
9951,haw haw haw,3
9952,young hellion want belt,12
9953,yeah,1
9954,right,5
9955,haw haw haw,3
9956,doggone,2
9957,,
9958,love kill,8
9959,,
9960,yeah care man hey thanks coming hey nice tie nelson,12
9961,ah thanks dad,5
9962,tried good baby sitter failed feeb useless old worn,17
9963,lisa strong unpleasant feeling,11
9964,called remorse vile burlesque irrepressible youth,9
9965,feeling away,9
9966,grab bucket brush clean harder faster,17
9967,,
9968,champions champions time losers cause champions worlllld,20
9969,uh oh,2
9970,hi honey uh oh marriage retreat going,9
10084,dad,2
9971,came retreat thought marriage trouble minute thought trouble homer expect believe,34
9972,marge know fish means fish represents better life fish makes champion hero,27
9973,,2
9974,weirdos worm store,7
9975,fish represents selfish,10
9976,way feel throw,11
9977,oh yeah sure,3
9978,watch,1
9979,wow gave fame breakfast marriage fought hours says word toss telling marriage trouble come baby,40
9980,ohhh homer,2
9981,,
9982,,2
9983,marriage,3
9984,usual perfectomundo,4
9985,oh house looks wonderful grampa secret,10
9986,pretending cry right heard pretending cry turn like fawcet boo hoo oh crying sad,28
9987,way grampa,4
9988,trust old person,6
9989,fooled long suckers hee hee hee,9
9990,,
9991,yup general sherman pounds dwelling fury know knows old ask people years day,38
9992,uh caught,7
9993,fella came close went homer seven feet tall arms like tree trunks eyes like steel cold hard shock hair red like fires hell,41
9994,,
9995,hurry mom convention soon good comics gone,17
10045,wow number fallout boy ward,10
9996,care good comics buy casper wimpy ghost,16
9997,think sad equate friendliness wimpiness hope achieving true popularity,22
9998,know think think casper ghost richie rich,14
9999,hey look alike,5
10000,wonder richie died,5
10001,realized hollow pursuit money took life,15
10002,kids lighten little,7
10003,radioactive man rules punches bad guy saying cool,14
10004,wittier superhero,7
10005,oh yeah look knocks guy sun says hot ya,16
10006,stand corrected,3
10007,,2
10008,,
10009,,
10010,bad come dressed popular cartoon characters,10
10011,looks like discount,6
10012,bartman,1
10013,supposed,6
10014,bartman,2
10015,heard price,6
10016,lousy rip,3
10017,uh ahem young people springfield mayor like welcome annual funny book convention thank pumping dollars local economy,36
10018,youthful high spirits imparted glow old war horse feel like radiation man,20
10019,radioactive man jerk,4
10020,stand corrected fun sure clear shriners punk makes fool diamond joe quimby,31
10021,excuse sir turned left vulcan ear,11
10080,dad,2
10022,let got utility belt couple tricorders light saber sorry kid,16
10023,hey bart dude,2
10024,hey otto man oooh,5
10025,idea comic book little man dude drives school bus day night fights vampires post apocalyptic warzone,30
10026,cool,1
10027,bart going buddy hodges,8
10028,guy played fallout boy tv,8
10029,yep,1
10030,wow guess killed vietnam,8
10031,aaahh laramie cigarettes steady nerves need combat evil,14
10032,gee whillikers radioactive man wisht old smoke laramies,12
10033,sorry fallout boy sixteen,7
10034,look,2
10035,radioactive man act time save earth,10
10036,great kids sure like remember actor dirk richter portrayal radioactive man sordid details final years let questions tasteful okay big welcome buddy fallout boy hodges,49
10037,questions,2
10038,radioactive man got injected shrinking serum issue thirty come costume shrinks,17
10039,sure know finish playing rum tum tugger second national touring company cats anybody,27
10040,ooh ooh ooh ooh fallout boy oh oh,15
10041,yes masked boy,5
10042,think ghost dirk richter haunts bordello bullet riddled body found,17
10043,dirk richter beautiful man little vultures leave,13
10044,hey radioactive man number seventy imaginary tale radioactive man marries larva girl,15
10046,tell special promise grubby little hands,25
10047,behold,1
10048,wow radioactive man number,5
10049,,2
10050,bet worth million bucks,7
10051,lad let remind,19
10052,got thirty,5
10053,,5
10054,moment knew god earth know buy comic book,25
10055,emotion place son,8
10056,,
10057,kids fun,6
10058,yeah mom guess dollar man sold thirty caspers dozen lois lanes,18
10059,ohhh,1
10060,knew superman saw wonder woman golden lariat tie time,23
10061,homer,1
10062,kidding marge hey dinner krusty burger treat,17
10063,right homer whoa sport dad taking fine restaurant like krusty burger,20
10064,right getting,7
10065,need dollars comic book,9
10066,bucks comic book drew micha ma langelo,11
10067,oh dad want world,12
10068,,2
10069,,
10070,dad,2
10071,,1
10072,dad,2
10073,,1
10074,dad,2
10075,,1
10076,dad,2
10077,,1
10078,dad,2
10079,,1
10086,dad,2
10087,,1
10088,dad,2
10089,,1
10090,dad,2
10091,look son know usually bug like mad trying shows paying attention know gon na dollars gon na stop bugging,51
10092,,1
10093,,2
10094,,1
10095,,2
10096,,1
10097,,2
10098,,1
10099,,2
10100,,1
10101,,2
10102,,1
10103,,2
10104,,1
10105,,2
10106,,1
10107,,2
10108,,1
10109,,2
10110,,1
10111,,2
10112,okay,1
10113,hee hee win face yeah like apples woo hoo hoo,17
10114,gloat homer know bart age thing wanted world child sized electric lightbulb oven parents money went sisters patty selma,44
10115,,
10116,half allowance,6
10117,uh huh slave,8
10119,gives lot free time,8
10120,uh huh let smoking,5
10121,months worked worked sisters smoked smoked,12
10122,venus oh venus,3
10123,want dress shields hand washed drip dried,7
10158,haw haw,2
10222,,3
10124,big day finally came worked lightbulb warmed treats tasted extra good,19
10125,,
10126,maybe time job answer,8
10127,aw mom ask taking care maggie lisa handful,22
10128,means job stupid,8
10129,,1
10130,job realize time little piece childhood slipped away forever,24
10131,bart staring,6
10132,uh,2
10133,moment dad closer,21
10134,bart stop,3
10135,sorry,1
10136,,
10137,need money lot money ahh,9
10138,bottles bottles,4
10139,hm practically,5
10140,,
10141,apu,4
10142,ooh good like deposit defrayed cost jumbo cherry squishie,17
10143,today need dime,7
10144,oh good learning trade,11
10145,,
10146,ah ha,1
10147,,
10148,americanize good man,5
10149,okey dokey,2
10150,coins worth lousy cents,9
10151,let good times roll,5
10152,,
10153,oh humiliating feel like geek,11
10154,going bart,4
10155,terrible cars slow laugh buying,12
10156,maybe need play sympathies lets,11
10157,ah ha look pathetic,6
10159,lemonade sucks need new product let ah,10
10160,form line crowding cheap beer sympathetic ear step right,14
10161,ah bart credit little short week,15
10162,beat,2
10163,uh got liquor license young fella,10
10164,ugh dog ate,5
10165,got ta license sell beer,7
10166,writing tickets guys thirsty couple house,17
10167,ell seeing offense,8
10168,guess overlook,6
10169,long officers uh oh,4
10170,hey,5
10171,beer beer beautiful beer,7
10172,,
10173,poor boy desperate wants earn money buy comic book,16
10174,comic book oh boys change nazi smasher,14
10175,think,4
10176,send house got chores knows mix whitewash,22
10177,,
10178,mrs glick,2
10179,eh burt simpson look like got strong young,16
10180,like eat got dried apricots almond paste sauerkraut candy,14
10181,thanks,4
10182,oh brother asa killed great war held grenade long,17
10183,,
10184,kaiser bill special delivery uncle sam boys d company yeah johnny harrison brooklyn bob reggie yeah reggie ai stuck know,37
10185,ribbon candy boys love candy,8
10186,thanks,2
10187,boys love candy,3
10221,oh yes,3
10188,ugh think work,10
10189,start little light yard work nice barley pop,19
10190,,
10191,want clear weeds know ones weeds,16
10192,,3
10193,good boy,2
10194,careful inside watching stories,11
10195,ow,2
10196,jack married,4
10197,turning,7
10198,oh stop,5
10199,filthy genuinely arousing,4
10200,finished,1
10201,merciful heavens bleeding iodine,8
10202,fidget,3
10203,listen lady yaaauuuuggghhh,8
10204,improved iodine,5
10205,,
10206,hi mom,2
10207,money,5
10208,lot pain,11
10209,think mrs glick nice poor old thing anybody,19
10210,reason,3
10211,sludge certainly collects downspouts,9
10212,sludge old bat,6
10213,today wash beulah know,10
10214,old lady thing heard years,10
10215,wedding dress dyed black mourning dress,18
10216,great story lady,3
10217,night dreamed held arms,10
10218,iodine burn germs torch amputate arm yaaauuuggghhh,20
10219,,
10220,payday wager looking forward,11
76517,,
10223,quarters,2
10224,quarters,2
10225,deserve penny know told lot girlfriends chores,20
10226,quarters,2
10227,bart thank,6
10228,listen lady leave screaming leave saying bad word way saying thank,26
10229,welcome right spend penny whistles moon pies,17
10230,,
10231,moon pies butt somebody oughta moon pie,9
10232,problem boy,4
10233,bustin hump week withered old clam got cents,19
10234,hey age cents lot money,13
10235,,1
10236,nah,1
10237,dad got thirty bucks ugh working working chumps,22
10238,son proud twice age figured,15
10239,,
10240,let dollars,9
10241,bucks forget stool,13
10242,got sold seeds visited aunt nursing home fished dime sewer god sake,26
10243,way want,6
10244,thirty,6
10245,freakin kids need got masters degree folklore mythology,18
10246,excuse carl yastrzemski baseball card big sideburns,17
10247,thirty bucks ai got ai gettin stool,17
10248,wait minute martin milhouse went buy copy radioactive man right,24
10249,wow,1
10250,muttonchop yaz,5
10251,want,4
10252,freakin kids,2
10253,look pal got bucks like buy radioactive man waddle,27
10254,yes sir,2
10255,wow breathe boys,5
10256,stuff dreams,8
10257,smells like grandpa,5
10258,uh oh looks like rain better baby home,10
10259,uh oh,1
10260,looks like bought bargained,9
10261,,
10262,pants caught barbed wire good lord choke bomb,11
10263,yaarrgh,1
10264,radioactive day forward shall radioactive man,13
10265,happened,5
10266,thought hit atomic bomb killed,13
10267,know better,4
10268,turn page bart,4
10269,listen guys welcome come read time like,15
10270,house,8
10271,house crazy talk,5
10272,comic,10
10273,guys bart mondays thursdays milhouse tuesdays fridays truly wednesdays saturdays,27
10274,perfect,1
10275,wait minute sunday,6
10276,yeah sunday,4
10277,sunday possession determined random number generator digits milhouse bart seven,32
10278,perfect,1
10279,wait minute zero,6
10280,yeah zero,4
10281,yeah,1
10282,unlikely event zero possession determined rock scissor paper competition best,24
10283,excellent today saturday gentlemen guess taking comic,14
10284,uh uh uh ah nice try martin worked tonight comic book stays right,18
10285,comic book stays right,11
10286,,2
10287,fine going stay comic book like sleep yeah sleep pals right real friendly like,26
10288,want read,6
10289,nice try mister,3
10290,milhouse acids hands damage newsprint want comic forever alive honor buried,31
10291,mean alive,8
10292,meant years,5
10293,yeah sure,4
10294,bart push,4
10295,knew makes sap bartholemew simpson,17
10296,thought boys like milk microwave,11
10297,thank mrs simpson,4
10298,sweet dreams boys,3
10299,,
10300,,
10301,step dead man,8
10302,bathroom bart,8
10303,yeah right gettin,12
10304,hey going,4
10305,dear friend martin trying steal comic book,11
10306,let tie,4
10307,bart treat guests,9
10392,hmp impressive,2
10308,quiet piggy stick apple mouth chances turns watching,22
10309,okay,4
10310,oh little game let old bart nice drowsy turned wham,20
10311,going happen,8
10312,going crazy bart telling mom,8
10313,hey martin tell squealers,9
10314,know worse people bathroom,19
10315,stop,4
10316,hell,4
10317,,
10318,homer coming check boys,11
10319,fine,2
10320,,
10321,bart comic,3
10322,let bart,6
10323,milhouse far ground rain probably softened bit,18
10324,bart,3
10325,know guys tied saving comic speak,18
10326,shut shut,4
10327,help bart want comic wanted carl yastrzemski big burns,17
10328,boys better come house want sniffles,14
10329,aw mom,2
10330,come play little tie game inside got cocoa stove wants imitation marshmallows,22
10331,raise hand mrs simpson,9
10332,,
10333,,
10334,use fellows comic book returned earth came,16
10335,worked hard gone ended share,21
10336,point,3
10337,kind ticks,8
10338,world safe long,10
10339,,
10340,ah chief wiggum archbishop mcgee distinguished guests pleased dedicate emergency warning system uh chance nuclear disaster sign tell good citizens springfield,38
10341,joke core explodes wo power light sign,16
10342,like present man sign possible dropping obstructionist legal challenges montgomery burns,25
10343,mr burns late terribly wrong,10
10344,better leaves diamond joe quimby holding bag,12
10345,,
10346,turn got greet dignitaries,7
10347,oh mr burns got doctor,10
10348,absolutely quack sawbones going apply leeches long ounce strength left,25
10349,mmmm mr burns suffering medical men hypohemia layman terms simply lack blood,22
10350,damn doctor idiot know hypohemia want know,23
10351,point hope transfusion,10
10352,long sterilize needle,9
10353,seconds,3
10354,skip,3
10355,leave home,7
10356,afraid simple blood type double o negative rare,14
10357,b positive damn common gutter blood veins,12
10358,smithers feel bad kidney donated hit spot,17
10359,,
10393,hairs head looking,8
10421,ahead,2
76553,,
10360,attention employees boss inspiration mr burns death death door type double o negative blood implore report bloodmobile outside,32
10361,blood thing,9
10362,,2
10363,wanna,3
10364,believe guys human millions dollars needs help wanna cash losers stuck crummy dead end job,37
10365,know homer supervisor,7
10366,sorry sir,2
10367,,
10368,maggie look,4
10369,lee mur lee mur,2
10370,zee boo zee boo,2
10371,honey,5
10372,trying teach maggie nature end barnyard want advantages,24
10373,lisa best zebu,10
10374,like ox hump dewlap hump dew lap hump dew lap,18
10375,marge marge blood type,6
10376,positive,1
10377,aw nuts extremely rare blood,10
10378,know blood type romantic,7
10379,mother knows family,7
10380,oh yeah shoe size,6
10381,,2
10382,teeth,6
10383,sixteen permanent baby,4
10384,earmuffs,1
10385,xl,1
10386,ring,1
10387,want wearing rings looks cheap,11
10388,allergies,1
10389,butterscotch imitation butterscotch,4
10390,,1
10391,glow dark monster,6
10394,oh homie lots hair want know blood type,16
10395,aw old man burns gon na kick double o negative blood plant,22
10396,bart,2
10397,woo yes right woo congratulations boy got date needle,14
10398,hey wait minute blood rights know,15
10399,yeah right remain silent,8
10400,bart help need decent thing,15
10401,,
10402,bart like asking blood free crazy little young understand save rich man life showers riches know story hercules lion,46
10403,bible story,5
10404,yeah probably time big mean lion got thorn paw village people tried pull strong got hercules hercules mighty strength bingo moral lion happy gave hercules big thing riches,64
10405,lion rich,6
10406,olden days,5
10407,oh,1
10408,,
10409,hey let emergency life death,6
10410,sec man,4
10411,,
10412,whoa otto man work,5
10413,oh yeah day friends school got job certified bloodletting tech dude,22
10414,let road,8
10415,okay let wash,5
10416,homer brave young bart know hug,12
10417,eh boy,3
10418,,
10419,ready transfusion,5
10420,smithers going want dictate epitaph,13
10422,charles montgomery burns,3
10423,um hmm,2
10424,american patriot,2
10425,american patriot,2
10426,master atom,4
10427,scourge despot,4
10428,o tyrant hear mighty quake smithers,11
10429,,
10430,oh o mornin ye look good old,15
10431,hi mr burns,3
10432,oh hey mr brown shoes local sports team hm,13
10433,mr burns okay jackpot,5
10434,,
10435,aye caramba,2
10436,heh heh heh game hasta manana osvaldo,7
10437,smithers pink pith vinegar,11
10438,remarkable sir,3
10439,know funny smithers tried tincture poultice tonic patent medicine needed blood young boy way lad,38
10440,uh bart simpson sir,4
10441,,1
10442,son homer simpson stiffs sector,13
10443,simpsons getting nice surprise mail nice,16
10444,,
10445,bill bill summons bill wait minute burns yes woo hoo woo,19
10446,marge lisa maggie let yard neighbors,15
10447,lisa dim lights turn lights,12
10448,yes dad,2
10449,little thin okay check,11
10475,meaning,4
10476,better half marge better half,5
12363,,
10450,right check card panic sure tells getting pick dear bart thank kindly blood truly montgomery burns card,42
10451,way gratitude gold diamonds rubies lousy card wait minute card got mad place,36
10452,homer things like rewarded fellow human needs helping hand,22
10453,marge wife love living world believe flowers bells leprechauns magic frogs funny little hats,31
10454,yeah mom got hosed,5
10455,bart,1
10456,got exactly wanted gave old man second chance,17
10457,promised boy simple thing lots riches man broke promise bart letter,24
10458,dear mr burns glaaad enjoyed son blood caard great case tell sarcastic stink read,36
10459,stink,2
10460,good senile buck toothed old mummy bony girl arms smell like,16
10461,elephant butt,3
10462,elephant butt,3
10463,,
10464,boss mail right minute,13
10465,yup,1
10466,angry homer sleep,10
10467,forget marge,3
10468,homie,4
10469,oh right hand thing usually works,13
10470,,
10471,cheap son,2
10472,homer breakfast ready,4
10473,hmmm,1
10474,oh marge saved making big mistake finally understand meaning mmphm hnmph,19
10477,oh thank,3
10478,letter,3
10479,,
10480,,
10481,,3
10482,homer think cornstarch canister,9
10483,walk away,11
10484,bart seen letter,6
10485,yup,1
10486,right think carefully,11
10487,place saw,6
10488,uh huh,2
10489,hand,4
10490,yeah,1
10491,shoving mailbox,8
10492,,5
10493,dad things letter said know emotional guy mad night guarantee mad morning,38
10494,mad morning,7
10495,homer encouraged strangling,9
10496,right okay think homer panic pick mail till noon time,18
10497,,
10498,ow ow ow ow ow ow ow,7
10499,homer locked tight,8
10500,locked eh little surprise sleeve old mr lock step aside boy,20
10501,hey homer fight power,8
10502,hose homer,4
10503,look like letter wet ink run able read,24
10504,yeah people mail,9
10505,people wo letters boo hoo know kinda letters people write dear somebody heard blah blah blah blah blah blah blah truly bozo big loss,35
10506,bart eye mailman kind signal,17
10507,dad mailman,5
10508,good use,7
10509,mean mailman,6
10510,,
10511,dear god planning water mail,9
10512,uh uh guess good run mail lady know address huh,26
10513,right,2
10514,gon na run,5
10515,,
10516,want world hear story harrowing struggle hypohemia,15
10517,sir mr roman finest ghostwriters business,13
10518,written like hell muck unsinkable sadruddin mahbaradad,15
10519,excellent,1
10520,right right question slept famous,12
10521,countess van zeplin blaze listen bargain basement baudelaire dizzy starlet string words write thing fired,37
10522,,
10523,hello mr burns believe letter,14
10524,okay mr burns,7
10525,know,3
10526,great plan bart,3
10527,,
10528,ooh look maggie dec ah edron dodecahedron,8
10529,lisa know strange father trying worry,18
10530,,
10531,chapter fifth trip infirmary unexpected results,12
10532,,
10533,oops,1
10534,minutes till burns comes time operation mail,11
10535,help,4
10560,told gon na destroy family believed,15
10536,oh frightened letter opener,15
10538,homer simpson,2
10540,simpson eh simpson oh letter read right dear mr burns glad enjoyed son blood card great simpson day true gentleman,44
10541,yeah,7
10542,hello case tell sarcastic,11
